2850.0,'2404247020': -9, '2404247023': -7,'2404247020': 3, '2404247023': 3,'2404247020': 9, '2404247023': 7,
2875.0,'2404247020': -9, '2404247023': -9,'2404247020': 3, '2404247023': 3,'2404247020': 9, '2404247023': 9,
2900.0,'2404247020': -8, '2404247023': -10,'2404247020': 4, '2404247023': 3,'2404247020': 8, '2404247023': 10,
2925.0,'2404247020': -13, '2404247023': -11,'2404247020': 5, '2404247023': 3,'2404247020': 13, '2404247023': 11,
2950.0,'2404247020': -13, '2404247023': -10,'2404247020': 5, '2404247023': 3,'2404247020': 13, '2404247023': 10,
2975.0,'2404247020': -7, '2404247023': -7,'2404247020': 4, '2404247023': 3,'2404247020': 8, '2404247023': 7,
3000.0,'2404247020': -4, '2404247023': -9,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 9,
3025.0,'2404247020': 1, '2404247023': -10,'2404247020': 1, '2404247023': 4,'2404247020': 2, '2404247023': 10,
3050.0,'2404247020': -1, '2404247023': -13,'2404247020': 3, '2404247023': 3,'2404247020': 8, '2404247023': 15,
3075.0,'2404247020': 4, '2404247023': -11,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 11,
3100.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 5,
3125.0,'2404247020': 0, '2404247023': -4,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
3150.0,'2404247020': -1, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
3175.0,'2404247020': -1, '2404247023': -6,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 6,
3200.0,'2404247020': -2, '2404247023': -5,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 5,
3225.0,'2404247020': -6, '2404247023': -7,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 7,
3250.0,'2404247020': -3, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
3275.0,'2404247020': 0, '2404247023': -4,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
