2450.0,'2404247020': -9.0, '2404247023': -24.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
2475.0,'2404247020': -25.0, '2404247023': -2.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
2500.0,'2404247020': -36.0, '2404247023': -18.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
2525.0,'2404247020': -20.0, '2404247023': -47.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
2550.0,'2404247020': -28.0, '2404247023': -73.0,'2404247020': 3, '2404247023': 2,'2404247020': 3, '2404247023': 5,
2575.0,'2404247020': -11.0, '2404247023': -104.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
2600.0,'2404247020': -42.0, '2404247023': -19.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
2625.0,'2404247020': -27.0, '2404247023': -83.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
2650.0,'2404247020': -37.0, '2404247023': -131.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
2675.0,'2404247020': -15.0, '2404247023': -100.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
2700.0,'2404247020': -13.0, '2404247023': -109.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2725.0,'2404247020': -7.0, '2404247023': -58.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
2750.0,'2404247020': -35.0, '2404247023': -23.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 3,
2775.0,'2404247020': -30.0, '2404247023': -11.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
2800.0,'2404247020': 0, '2404247023': -26.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 2,
2825.0,'2404247020': 0, '2404247023': -2.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 1,
2850.0,'2404247020': -62.0, '2404247023': -56.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 5,
2875.0,'2404247020': 0, '2404247023': -37.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 3,
2900.0,'2404247020': -20.0, '2404247023': -39.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
