3025.0,'2404247020': -1.0714285, '2404247023': -4.0,'2404247020': 4, '2404247023': 13,'2404247020': 6, '2404247023': 29,
3050.0,'2404247020': -2.1785715, '2404247023': -4.0,'2404247020': 6, '2404247023': 13,'2404247020': 13, '2404247023': 31,
3075.0,'2404247020': -0.4419643, '2404247023': -4.0,'2404247020': 2, '2404247023': 11,'2404247020': 4, '2404247023': 26,
3100.0,'2404247020': -0.60714287, '2404247023': -4.0,'2404247020': 3, '2404247023': 11,'2404247020': 5, '2404247023': 24,
3125.0,'2404247020': -1.1651785, '2404247023': -4.0,'2404247020': 3, '2404247023': 12,'2404247020': 5, '2404247023': 27,
3150.0,'2404247020': -0.22321428, '2404247023': -4.0,'2404247020': 3, '2404247023': 11,'2404247020': 3, '2404247023': 27,
3175.0,'2404247020': -0.25892857, '2404247023': -4.0,'2404247020': 3, '2404247023': 11,'2404247020': 4, '2404247023': 25,
3200.0,'2404247020': -0.70535713, '2404247023': -4.0,'2404247020': 3, '2404247023': 11,'2404247020': 4, '2404247023': 27,
3225.0,'2404247020': -0.08035714, '2404247023': -4.0,'2404247020': 1, '2404247023': 11,'2404247020': 2, '2404247023': 23,
3250.0,'2404247020': -0.07589286, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 3, '2404247023': 18,
3275.0,'2404247020': -0.625, '2404247023': -4.0,'2404247020': 3, '2404247023': 8,'2404247020': 5, '2404247023': 20,
3300.0,'2404247020': -1.1830357, '2404247023': -4.0,'2404247020': 2, '2404247023': 8,'2404247020': 5, '2404247023': 19,
3325.0,'2404247020': -1.8482143, '2404247023': -4.0,'2404247020': 3, '2404247023': 9,'2404247020': 6, '2404247023': 21,
3350.0,'2404247020': -0.0625, '2404247023': -4.0,'2404247020': 1, '2404247023': 8,'2404247020': 1, '2404247023': 20,
3375.0,'2404247020': -0.17410715, '2404247023': -4.0,'2404247020': 1, '2404247023': 8,'2404247020': 1, '2404247023': 18,
3400.0,'2404247020': -0.3169643, '2404247023': -4.0,'2404247020': 1, '2404247023': 8,'2404247020': 2, '2404247023': 22,
3425.0,'2404247020': -0.1875, '2404247023': -4.0,'2404247020': 2, '2404247023': 5,'2404247020': 3, '2404247023': 17,
3450.0,'2404247020': -0.63839287, '2404247023': -4.0,'2404247020': 3, '2404247023': 6,'2404247020': 5, '2404247023': 16,
3475.0,'2404247020': -1.2142857, '2404247023': -4.0,'2404247020': 3, '2404247023': 5,'2404247020': 7, '2404247023': 14,
3500.0,'2404247020': -0.13839285, '2404247023': -4.0,'2404247020': 1, '2404247023': 4,'2404247020': 2, '2404247023': 18,
3525.0,'2404247020': -0.28125, '2404247023': -4.0,'2404247020': 1, '2404247023': 6,'2404247020': 3, '2404247023': 23,
3550.0,'2404247020': -0.39732143, '2404247023': -4.0,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 11,
3575.0,'2404247020': -0.21428572, '2404247023': -4.0,'2404247020': 2, '2404247023': 4,'2404247020': 3, '2404247023': 13,
3600.0,'2404247020': -0.15625, '2404247023': -4.0,'2404247020': 3, '2404247023': 3,'2404247020': 4, '2404247023': 10,
